fertilizer_requirements_topdressing_17_17_kgs,owner_detail,seed_source,crop_variety,min_maturity_in_days,row_spacing_cm,pest_susceptibility,max_annual_rainfall_mm,diseases_tolerance,min_estimated_yield,crop_type,fertilizer_requirements_planting_DAP_kgs,id,max_altitude_meters_above_sea_level,pest_tolerance,max_estimated_yield,min_annual_rainfall_mm,suitable_climatic_conditions,fertilizer_requirements_topdressing_CAN_kgs,max_maturity_in_days,Seed_rate_per_acre_grams,disease_susceptibility,min_altitude_meters_above_sea_level,plant_spacing_1_plant_per_hill
50,"{'id': '577c8bbd-e82c-4729-8ea7-6e92f8148c72', 'first_name': '', 'last_name': '', 'email': 'juliawakaba53@gmail.com', 'phone_number': '+254791049498'}",royal seed,Susana F1,60,90,"leaf miner, whiteflies, spidermites",1000.0,"tomato yellow leaf curl virus, fusarium wilt",120.0,Tomato,75,9d70620f-5881-420b-bcd0-fc5a97f8d41d,1500.0,none,150.0,600.0,warm,75,75,50,"early blight, late blight, downy mildew",800.0,60
50,"{'id': '577c8bbd-e82c-4729-8ea7-6e92f8148c72', 'first_name': '', 'last_name': '', 'email': 'juliawakaba53@gmail.com', 'phone_number': '+254791049498'}",royal seed,Bravo F1,70,90,"leaf miner, thrips, spidermites, whiteflies",1000.0,"tomato yellow leaf curl virus,fusarium wilt, verticillium wilt",25.0,Tomato,75,1b39d54d-0907-40b5-80de-453fee1a8c57,1500.0,nematodes,30.0,600.0,warm,75,75,50,"anthracnose, early blight, late blight",800.0,60
50,"{'id': '577c8bbd-e82c-4729-8ea7-6e92f8148c72', 'first_name': '', 'last_name': '', 'email': 'juliawakaba53@gmail.com', 'phone_number': '+254791049498'}",royal seed,Terminatorf1,70,90,"leaf miner,spidermites, whiteflies",1000.0,"tomato yellow leaf curl virus,tomato mosaic virus, verticillium wilt,Grey leaf sot",25.0,Tomato,75,f803ca6e-03b8-4d4c-9c7b-203d86dfdb75,1500.0,none,30.0,600.0,warm,75,75,50,"early blight, late blight,downy mildew",800.0,60
50,"{'id': '577c8bbd-e82c-4729-8ea7-6e92f8148c72', 'first_name': '', 'last_name': '', 'email': 'juliawakaba53@gmail.com', 'phone_number': '+254791049498'}",royal seed,Rambo F1,70,90,"leaf miner,spidermites,whiteflies",1000.0,"bacterial wilt,fusarium wilt,bacterial spot, verticillium wilt",25.0,Tomato,75,86ee6255-2287-4558-9b7b-eea6f0250a1c,1500.0,nematodes,30.0,600.0,warm,75,75,50,"early blight, downy mildew,late blight",800.0,60
50,"{'id': '577c8bbd-e82c-4729-8ea7-6e92f8148c72', 'first_name': '', 'last_name': '', 'email': 'juliawakaba53@gmail.com', 'phone_number': '+254791049498'}",royal seed,Oxly,70,60,"spidermites,leaf miner, thrips",1000.0,tomato leaf rot virus,12.0,Tomato,75,f300ca72-6b78-478a-a4ed-345128eedca1,1500.0,none,16.0,600.0,warm,75,75,50,"late blight,early blight, downy mildew",800.0,45
50,"{'id': '577c8bbd-e82c-4729-8ea7-6e92f8148c72', 'first_name': '', 'last_name': '', 'email': 'juliawakaba53@gmail.com', 'phone_number': '+254791049498'}",niki farm care,Pesa F1,70,90,"leaf miner, spidermites,whiteflies",1000.0,tomato yellow leaf curl virus,25.0,Tomato,75,2fb1d649-24b3-4a49-a628-b4793e25eb8b,1500.0,none,30.0,600.0,warm,75,75,50,"anthracnose, downy mildew,early blight",800.0,60
50,"{'id': '577c8bbd-e82c-4729-8ea7-6e92f8148c72', 'first_name': '', 'last_name': '', 'email': 'juliawakaba53@gmail.com', 'phone_number': '+254791049498'}",niki farm care,Big Rock F1,60,90,"leaf miner, thrips, spidermites, whiteflies",1000.0,tomato yellow leaf curl virus,25.0,Tomato,75,eb64574e-de16-4ec3-95f7-3270b8b62d19,1500.0,nematodes,30.0,600.0,warm,75,65,50,"early blight, late blight, downy muldew",800.0,60
50,"{'id': '577c8bbd-e82c-4729-8ea7-6e92f8148c72', 'first_name': '', 'last_name': '', 'email': 'juliawakaba53@gmail.com', 'phone_number': '+254791049498'}",seminis,Anna F1,70,90,"thrips,leaf miner, spidermites",1000.0,"alternaria stem canker,verticillium, fusarium wilt",70.0,Tomato,75,f3f86cf1-3247-49d4-8f66-43b103740c51,1500.0,nematodes,75.0,600.0,warm,75,75,50,"anthracnose, early blight, late blight",800.0,60
50,"{'id': '577c8bbd-e82c-4729-8ea7-6e92f8148c72', 'first_name': '', 'last_name': '', 'email': 'juliawakaba53@gmail.com', 'phone_number': '+254791049498'}",syngenta,Tylka F1,70,60,"leaf miner,thrips,whieflies",1000.0,"tomato yellow leaf curl virus,fusarium wilt, tomato mosaic virus",70.0,Tomato,75,c93a38ea-8d8e-4bb3-bf4a-dbc8d1073bf1,1500.0,nematodes,78.0,600.0,warm,75,75,50,"early blight, late blight, downy mildew",800.0,45
50,"{'id': '577c8bbd-e82c-4729-8ea7-6e92f8148c72', 'first_name': '', 'last_name': '', 'email': 'juliawakaba53@gmail.com', 'phone_number': '+254791049498'}",syngenta,Bashaer F1,70,75,"thrips,spidermites,leaf miner,whiteflies",1000.0,"Fusarium wilt,verticillium,tomato mosaic virus",30.0,Tomato,75,8c3d3f58-c3f1-4de0-9768-c702c43343c3,1500.0,none,35.0,600.0,warm,75,75,40,"anthracnose,early blight, late blight,downy mildew",800.0,75
50,"{'id': '577c8bbd-e82c-4729-8ea7-6e92f8148c72', 'first_name': '', 'last_name': '', 'email': 'juliawakaba53@gmail.com', 'phone_number': '+254791049498'}",syngenta,Rafano F1,70,90,"spider mites, whiteflies, leaf miner,thrips",1000.0,"tomato yellow leaf curl virus,bacterial wilt",30.0,Tomato,75,1982b9f6-b030-4da5-8dd1-451db887e12b,1500.0,none,35.0,600.0,hot,75,75,40,"early blight,late blight, downy mildew",800.0,75
50,"{'id': '577c8bbd-e82c-4729-8ea7-6e92f8148c72', 'first_name': '', 'last_name': '', 'email': 'juliawakaba53@gmail.com', 'phone_number': '+254791049498'}",syngenta,Kilele F1,70,90,"leaf miner, whiteflies, spidermites",1000.0,"tomato yellow leaf curl virus,bacterial wilt",30.0,Tomato,75,8b2bbda6-332f-4e45-ab2a-19e25910d9b0,1500.0,none,35.0,600.0,warm,75,75,45,"early blight,late blight, downy mildew",800.0,75
50,"{'id': '577c8bbd-e82c-4729-8ea7-6e92f8148c72', 'first_name': '', 'last_name': '', 'email': 'juliawakaba53@gmail.com', 'phone_number': '+254791049498'}",seminis,Assila F1,70,90,"leaf miner, spidermites,whiteflies",1000.0,"tomato yellow leaf curl virus,alternaria stem canker, fusarium wilt",25.0,Tomato,75,e74b0ecc-606c-4e7d-bb10-9af05c5be83f,1500.0,nematodes,30.0,600.0,hot,75,75,50,"septoria leaf spot,late blight, early blight",800.0,45
50,"{'id': '577c8bbd-e82c-4729-8ea7-6e92f8148c72', 'first_name': '', 'last_name': '', 'email': 'juliawakaba53@gmail.com', 'phone_number': '+254791049498'}",seminis,Ansal F1,75,90,"leaf miner,spidermites,whiteflies",1000.0,"tomato yellow leaf curl virus,bacterial wilt,tomato mosaic virus",100.0,Tomato,75,221fd3bc-3c25-43be-b9a7-c2599f7dbc58,1500.0,nematodes,150.0,600.0,warm,75,80,50,"early blight, anthracnose, late blight",800.0,45
50,"{'id': '577c8bbd-e82c-4729-8ea7-6e92f8148c72', 'first_name': '', 'last_name': '', 'email': 'juliawakaba53@gmail.com', 'phone_number': '+254791049498'}",simlaw seeds,Monica F1,75,90,"whiteflies,leaf miner,spidermites",1000.0,"tomato yellow leaf curl virus,bacterial wilt,tomato mosaic virus",100.0,Tomato,75,29b68e94-d396-4919-8725-bbbe6732c358,1500.0,nematodes,150.0,600.0,warm,75,80,50,"anthracnose,late blight,early blight",800.0,45
50,"{'id': '577c8bbd-e82c-4729-8ea7-6e92f8148c72', 'first_name': '', 'last_name': '', 'email': 'juliawakaba53@gmail.com', 'phone_number': '+254791049498'}",simlaw seeds,Prostar F1,80,60,"leaf miner,spidermites,whiteflies",1000.0,"bacterial wilt,tomato mosaic virus,verticillium wilt, fusarium wilt",100.0,Tomato,75,5e868c0b-951e-4b54-b353-2bea52bdd2ee,1500.0,nematodes,150.0,600.0,warm,75,80,50,"early blight, late blight, damping off",800.0,45
50,"{'id': '577c8bbd-e82c-4729-8ea7-6e92f8148c72', 'first_name': '', 'last_name': '', 'email': 'juliawakaba53@gmail.com', 'phone_number': '+254791049498'}",simlaw seeds,Rio Grande,75,90,"thrips,spider mites, leaf miner",1000.0,"bacterial wilt,tomato yellow leaf curl virus,fusarium wilt",12.0,Tomato,75,521c9921-f9bd-479d-8c76-d5a62e61627b,1500.0,none,16.0,600.0,warm,75,80,80,"early blight, late blight, damping off",800.0,45
50,"{'id': '577c8bbd-e82c-4729-8ea7-6e92f8148c72', 'first_name': '', 'last_name': '', 'email': 'juliawakaba53@gmail.com', 'phone_number': '+254791049498'}",simlaw seeds,Kibo Star F1,80,60,"leaf miner, spidermites,whiteflies",1000.0,"bacterial wilt, tomato yellow leaf curl virus",30.0,Tomato,75,1022e71d-0e0f-44e1-91fb-4ada62aa8eb7,1500.0,nematodes,35.0,600.0,warm,75,85,50,"anthracnose,late blight,early blight",800.0,60
50,"{'id': '577c8bbd-e82c-4729-8ea7-6e92f8148c72', 'first_name': '', 'last_name': '', 'email': 'juliawakaba53@gmail.com', 'phone_number': '+254791049498'}",simlaw seeds,Nouvelle F1,80,60,"spider mites, whiteflies, leaf miner",1000.0,"bacterial wilt, tomato yellow leaf curl virus",30.0,Tomato,75,699084ef-6af1-4f55-8c68-f63c4a74c585,1500.0,nematodes,35.0,600.0,warm,75,85,50,"anthracnose fruit rot, early blight",800.0,60
50,"{'id': '577c8bbd-e82c-4729-8ea7-6e92f8148c72', 'first_name': '', 'last_name': '', 'email': 'juliawakaba53@gmail.com', 'phone_number': '+254791049498'}",simlaw seeds,Crown F1,65,90,"whiteflies,leaf miner,spidermites",1000.0,"bacterial wilt,fusarium wilt",30.0,Tomato,75,16d9d897-789a-4102-b10d-9d9521f89ebc,1500.0,none,35.0,600.0,warm,75,70,50,"septoria leaf spot,late blight, early blight",800.0,45
50,"{'id': '577c8bbd-e82c-4729-8ea7-6e92f8148c72', 'first_name': '', 'last_name': '', 'email': 'juliawakaba53@gmail.com', 'phone_number': '+254791049498'}",simlaw seeds,Nyota F1,75,90,"leaf miner, spidermites,whiteflies",1000.0,"bacterial wilt,tomato yellow leaf curl virus",35.0,Tomato,75,27efe501-a02e-4649-b23d-690faf25a87a,1500.0,none,38.0,600.0,warm,75,85,50,"anthracnose fruit rot, early blight",800.0,45
50,"{'id': '577c8bbd-e82c-4729-8ea7-6e92f8148c72', 'first_name': '', 'last_name': '', 'email': 'juliawakaba53@gmail.com', 'phone_number': '+254791049498'}",greenlife protection limited,Randah F1,70,60,"spider mites, whiteflies, leaf miner",1000.0,"fusarium wilt,verticillum wilt,tomato yellow leaf curl virus",30.0,Tomato,75,6617ddb7-8556-4f54-ae29-ce98454520a8,1500.0,none,35.0,600.0,warm,75,85,40,"early blight, late blight, damping off",800.0,60
