severity,minimum_days,id,crop_variety,owner,updated_at,is_archived,growth_stage,maximum_days,metadata,created_at
critical,76,7034fffd-1180-44dc-b755-9b67fbb4e0f6,Carazon F1,577c8bbd-e82c-4729-8ea7-6e92f8148c72,2023-08-30T17:12:59.903595+03:00,False,harvesting,150,{},2023-08-30T17:12:59.903572+03:00
critical,51,be60458b-f710-4d98-bff6-aef64f3e5738,Carazon F1,577c8bbd-e82c-4729-8ea7-6e92f8148c72,2023-08-30T17:12:59.896318+03:00,False,fruiting,75,{},2023-08-30T17:12:59.896292+03:00
critical,26,3c91790e-6251-4adb-a7c2-f40e088ae99f,Carazon F1,577c8bbd-e82c-4729-8ea7-6e92f8148c72,2023-08-30T17:12:59.889186+03:00,False,flowering,50,{},2023-08-30T17:12:59.889155+03:00
critical,0,9f416b82-9715-4172-90b8-4c6bd4d47d34,Carazon F1,577c8bbd-e82c-4729-8ea7-6e92f8148c72,2023-08-30T17:12:59.881545+03:00,False,vegetative,25,{},2023-08-30T17:12:59.881520+03:00
critical,76,3a7e1c8f-7a34-4148-aad0-30f037e58183,Shanty F1,577c8bbd-e82c-4729-8ea7-6e92f8148c72,2023-08-30T17:12:59.873985+03:00,False,harvesting,150,{},2023-08-30T17:12:59.873957+03:00
critical,51,c65c324b-6217-403d-a02b-af495a0ab580,Shanty F1,577c8bbd-e82c-4729-8ea7-6e92f8148c72,2023-08-30T17:12:59.866094+03:00,False,fruiting,75,{},2023-08-30T17:12:59.866069+03:00
critical,26,f5f41535-c107-4aa8-bd60-ba47ba30b99e,Shanty F1,577c8bbd-e82c-4729-8ea7-6e92f8148c72,2023-08-30T17:12:59.858924+03:00,False,flowering,50,{},2023-08-30T17:12:59.858898+03:00
critical,0,a5a5b304-c49c-4044-9065-25ad823097cf,Shanty F1,577c8bbd-e82c-4729-8ea7-6e92f8148c72,2023-08-30T17:12:59.851810+03:00,False,vegetative,25,{},2023-08-30T17:12:59.851786+03:00
critical,76,b104b8d1-13eb-4889-9c3c-bbb0ca740b36,Zara F1,577c8bbd-e82c-4729-8ea7-6e92f8148c72,2023-08-30T17:12:59.844559+03:00,False,harvesting,150,{},2023-08-30T17:12:59.844536+03:00
critical,51,3fdc05b2-e697-428e-83bb-c9d4711f0f87,Zara F1,577c8bbd-e82c-4729-8ea7-6e92f8148c72,2023-08-30T17:12:59.837373+03:00,False,fruiting,75,{},2023-08-30T17:12:59.837350+03:00
critical,26,6670c8bc-69b5-4557-869c-157ee0da7f1f,Zara F1,577c8bbd-e82c-4729-8ea7-6e92f8148c72,2023-08-30T17:12:59.830112+03:00,False,flowering,50,{},2023-08-30T17:12:59.830089+03:00
critical,0,1a17e4f7-aa8c-428a-a546-1138e0251ef5,Zara F1,577c8bbd-e82c-4729-8ea7-6e92f8148c72,2023-08-30T17:12:59.823122+03:00,False,vegetative,25,{},2023-08-30T17:12:59.823076+03:00
critical,71,fc1ac19c-e2e0-41dd-9871-7b85db4f2df6,Ranger F1,577c8bbd-e82c-4729-8ea7-6e92f8148c72,2023-08-30T17:12:59.816230+03:00,False,harvesting,135,{},2023-08-30T17:12:59.816208+03:00
critical,46,cca0e1f2-2b25-463b-91a8-f7077b0af227,Ranger F1,577c8bbd-e82c-4729-8ea7-6e92f8148c72,2023-08-30T17:12:59.809409+03:00,False,fruiting,70,{},2023-08-30T17:12:59.809387+03:00
critical,21,9ababa08-b850-4ba8-8319-db9192bfef52,Ranger F1,577c8bbd-e82c-4729-8ea7-6e92f8148c72,2023-08-30T17:12:59.802533+03:00,False,flowering,45,{},2023-08-30T17:12:59.802510+03:00
critical,0,8fb96016-8c9e-41f8-831b-b05ac54a903f,Ranger F1,577c8bbd-e82c-4729-8ea7-6e92f8148c72,2023-08-30T17:12:59.795638+03:00,False,vegetative,20,{},2023-08-30T17:12:59.795614+03:00
critical,71,3beccd37-dd1c-42f7-9e71-6c22b6e7080a,Commando F1,577c8bbd-e82c-4729-8ea7-6e92f8148c72,2023-08-30T17:12:59.788757+03:00,False,harvesting,135,{},2023-08-30T17:12:59.788734+03:00
critical,46,fc414633-d9a9-4676-8822-05aedb5aa71f,Commando F1,577c8bbd-e82c-4729-8ea7-6e92f8148c72,2023-08-30T17:12:59.781987+03:00,False,fruiting,70,{},2023-08-30T17:12:59.781964+03:00
critical,21,930ccbbf-d9bf-454f-a6fe-736f8d78f33e,Commando F1,577c8bbd-e82c-4729-8ea7-6e92f8148c72,2023-08-30T17:12:59.775167+03:00,False,flowering,45,{},2023-08-30T17:12:59.775143+03:00
critical,0,c170386e-c4ff-4b5e-a41f-40cb2a0a71c3,Commando F1,577c8bbd-e82c-4729-8ea7-6e92f8148c72,2023-08-30T17:12:59.768158+03:00,False,vegetative,20,{},2023-08-30T17:12:59.768134+03:00
critical,71,5cf35250-53fd-4e94-9cc2-a7422a4a18bc,Twiga F1,577c8bbd-e82c-4729-8ea7-6e92f8148c72,2023-08-30T17:12:59.760666+03:00,False,harvesting,135,{},2023-08-30T17:12:59.760643+03:00
critical,46,7d48f7db-76d0-40ab-924f-e612da7fc30f,Twiga F1,577c8bbd-e82c-4729-8ea7-6e92f8148c72,2023-08-30T17:12:59.753986+03:00,False,fruiting,70,{},2023-08-30T17:12:59.753962+03:00
critical,21,b449dc70-b06d-4fd7-a888-fe80b4123e13,Twiga F1,577c8bbd-e82c-4729-8ea7-6e92f8148c72,2023-08-30T17:12:59.747219+03:00,False,flowering,45,{},2023-08-30T17:12:59.747194+03:00
critical,0,18cfebde-be86-4fb1-9f32-07271330c2da,Twiga F1,577c8bbd-e82c-4729-8ea7-6e92f8148c72,2023-08-30T17:12:59.739961+03:00,False,vegetative,20,{},2023-08-30T17:12:59.739937+03:00
critical,76,bec11ae0-dee1-40e8-a144-c212387aa674,Nyati F1,577c8bbd-e82c-4729-8ea7-6e92f8148c72,2023-08-30T17:12:59.732501+03:00,False,harvesting,140,{},2023-08-30T17:12:59.732476+03:00
critical,51,76ceb2cf-1593-4d77-85f0-5d6492e3c4d5,Nyati F1,577c8bbd-e82c-4729-8ea7-6e92f8148c72,2023-08-30T17:12:59.725216+03:00,False,fruiting,75,{},2023-08-30T17:12:59.725193+03:00
critical,26,b1d0144e-0a5c-485e-bbbc-831f82d80ffe,Nyati F1,577c8bbd-e82c-4729-8ea7-6e92f8148c72,2023-08-30T17:12:59.718355+03:00,False,flowering,50,{},2023-08-30T17:12:59.718332+03:00
critical,0,befb4ee1-6132-40e9-8814-000c1a3cbcb5,Nyati F1,577c8bbd-e82c-4729-8ea7-6e92f8148c72,2023-08-30T17:12:59.711236+03:00,False,vegetative,25,{},2023-08-30T17:12:59.711214+03:00
critical,76,dd184980-dc67-41e9-84f6-0c98d773db6f,Susana F1,577c8bbd-e82c-4729-8ea7-6e92f8148c72,2023-08-30T17:12:59.704255+03:00,False,harvesting,150,{},2023-08-30T17:12:59.704232+03:00
critical,51,56ab5e0f-3e16-4922-b0a7-ee7701f41b52,Susana F1,577c8bbd-e82c-4729-8ea7-6e92f8148c72,2023-08-30T17:12:59.697482+03:00,False,fruiting,75,{},2023-08-30T17:12:59.697457+03:00
critical,26,0f428422-57e0-4162-b13c-1a70b945e84c,Susana F1,577c8bbd-e82c-4729-8ea7-6e92f8148c72,2023-08-30T17:12:59.690704+03:00,False,flowering,50,{},2023-08-30T17:12:59.690679+03:00
critical,0,37562bdd-fb5d-4410-96ab-7746f3e8819f,Susana F1,577c8bbd-e82c-4729-8ea7-6e92f8148c72,2023-08-30T17:12:59.683660+03:00,False,vegetative,25,{},2023-08-30T17:12:59.683637+03:00
critical,76,219f2c2f-d930-4369-bfd6-4018401c01ee,Bravo F1,577c8bbd-e82c-4729-8ea7-6e92f8148c72,2023-08-30T17:12:59.676871+03:00,False,harvesting,150,{},2023-08-30T17:12:59.676846+03:00
critical,51,225a51ae-f23d-431f-8e46-241d0de00332,Bravo F1,577c8bbd-e82c-4729-8ea7-6e92f8148c72,2023-08-30T17:12:59.670071+03:00,False,fruiting,75,{},2023-08-30T17:12:59.670047+03:00
critical,26,b44963b3-de02-494f-9fd5-631f61438590,Bravo F1,577c8bbd-e82c-4729-8ea7-6e92f8148c72,2023-08-30T17:12:59.662932+03:00,False,flowering,50,{},2023-08-30T17:12:59.662907+03:00
critical,0,55d270ce-b3c1-48be-8eae-733ea0e46eaa,Bravo F1,577c8bbd-e82c-4729-8ea7-6e92f8148c72,2023-08-30T17:12:59.655870+03:00,False,vegetative,25,{},2023-08-30T17:12:59.655836+03:00
critical,76,1c3a66d5-b5c3-46b9-b8c7-4edfe47e74f5,Terminatorf1,577c8bbd-e82c-4729-8ea7-6e92f8148c72,2023-08-30T17:12:59.647339+03:00,False,harvesting,140,{},2023-08-30T17:12:59.647315+03:00
critical,51,717434f9-ea5c-4527-b5e3-89529f54da27,Terminatorf1,577c8bbd-e82c-4729-8ea7-6e92f8148c72,2023-08-30T17:12:59.640155+03:00,False,fruiting,75,{},2023-08-30T17:12:59.640126+03:00
critical,26,3af2942b-f4ab-4ba5-8dca-70327a42d96b,Terminatorf1,577c8bbd-e82c-4729-8ea7-6e92f8148c72,2023-08-30T17:12:59.632533+03:00,False,flowering,50,{},2023-08-30T17:12:59.632510+03:00
critical,0,c1ff1b3b-9ef4-499b-a2a5-cc978c16919f,Terminatorf1,577c8bbd-e82c-4729-8ea7-6e92f8148c72,2023-08-30T17:12:59.624988+03:00,False,vegetative,25,{},2023-08-30T17:12:59.624965+03:00
critical,76,062b52e7-bc62-4a3e-9ac5-aeb6d093812c,Rambo F1,577c8bbd-e82c-4729-8ea7-6e92f8148c72,2023-08-30T17:12:59.617711+03:00,False,harvesting,140,{},2023-08-30T17:12:59.617688+03:00
critical,51,ee4cdbfc-9eaf-4a2d-9e8b-4c26f873ccc6,Rambo F1,577c8bbd-e82c-4729-8ea7-6e92f8148c72,2023-08-30T17:12:59.610805+03:00,False,fruiting,75,{},2023-08-30T17:12:59.610781+03:00
critical,26,e08d1e4c-71a8-4795-87af-c33ccdc58935,Rambo F1,577c8bbd-e82c-4729-8ea7-6e92f8148c72,2023-08-30T17:12:59.603503+03:00,False,flowering,50,{},2023-08-30T17:12:59.603474+03:00
critical,0,7cbedbfc-3da9-4468-b826-b152507b03e8,Rambo F1,577c8bbd-e82c-4729-8ea7-6e92f8148c72,2023-08-30T17:12:59.596421+03:00,False,vegetative,25,{},2023-08-30T17:12:59.596398+03:00
not_critical,76,0819467e-16ab-4cd3-b537-9c190bf61c87,Oxly,577c8bbd-e82c-4729-8ea7-6e92f8148c72,2023-08-30T17:12:59.589705+03:00,False,harvesting,110,{},2023-08-30T17:12:59.589682+03:00
critical,51,48570b1d-b4f1-426a-9bae-52a192845f72,Oxly,577c8bbd-e82c-4729-8ea7-6e92f8148c72,2023-08-30T17:12:59.582587+03:00,False,fruiting,75,{},2023-08-30T17:12:59.582564+03:00
critical,26,2bd2a086-65f4-4000-8380-9a21cd38c4a4,Oxly,577c8bbd-e82c-4729-8ea7-6e92f8148c72,2023-08-30T17:12:59.575159+03:00,False,flowering,50,{},2023-08-30T17:12:59.575138+03:00
critical,0,67b47f9c-9d06-4f94-973a-f4e2e3386caf,Oxly,577c8bbd-e82c-4729-8ea7-6e92f8148c72,2023-08-30T17:12:59.567538+03:00,False,vegetative,25,{},2023-08-30T17:12:59.567512+03:00
critical,76,914acb02-fea0-47c2-950e-07e813ded2ce,Pesa F1,577c8bbd-e82c-4729-8ea7-6e92f8148c72,2023-08-30T17:12:59.560184+03:00,False,harvesting,140,{},2023-08-30T17:12:59.560161+03:00
critical,51,7dad8c23-8409-4e56-99fd-e139b36fadef,Pesa F1,577c8bbd-e82c-4729-8ea7-6e92f8148c72,2023-08-30T17:12:59.551965+03:00,False,fruiting,75,{},2023-08-30T17:12:59.551942+03:00
critical,26,1592c044-4334-40cc-8d6c-4339d7298c87,Pesa F1,577c8bbd-e82c-4729-8ea7-6e92f8148c72,2023-08-30T17:12:59.544968+03:00,False,flowering,50,{},2023-08-30T17:12:59.544945+03:00
critical,0,b9a3f4d2-8f7b-49a8-86b2-100b18758570,Pesa F1,577c8bbd-e82c-4729-8ea7-6e92f8148c72,2023-08-30T17:12:59.537845+03:00,False,vegetative,25,{},2023-08-30T17:12:59.537823+03:00
not_critical,67,e4c42b18-5bd4-49f1-9539-7e9fc32db34d,Big Rock F1,577c8bbd-e82c-4729-8ea7-6e92f8148c72,2023-08-30T17:12:59.530956+03:00,False,harvesting,100,{},2023-08-30T17:12:59.530932+03:00
critical,46,40139822-99a4-4375-bf00-80cb24d1ba17,Big Rock F1,577c8bbd-e82c-4729-8ea7-6e92f8148c72,2023-08-30T17:12:59.523538+03:00,False,fruiting,66,{},2023-08-30T17:12:59.523513+03:00
critical,21,84847b22-1224-49b8-89bb-c5ab3f8d9c42,Big Rock F1,577c8bbd-e82c-4729-8ea7-6e92f8148c72,2023-08-30T17:12:59.516502+03:00,False,flowering,45,{},2023-08-30T17:12:59.516477+03:00
critical,0,fe4da1ba-03aa-40d2-b221-75cc78e9b075,Big Rock F1,577c8bbd-e82c-4729-8ea7-6e92f8148c72,2023-08-30T17:12:59.508986+03:00,False,vegetative,20,{},2023-08-30T17:12:59.508964+03:00
not_critical,76,fe63667b-d2b6-4b8f-b114-9ea08fe508eb,Anna F1,577c8bbd-e82c-4729-8ea7-6e92f8148c72,2023-08-30T17:12:59.502026+03:00,False,harvesting,140,{},2023-08-30T17:12:59.502000+03:00
critical,51,e21f1a6d-b022-4ff8-9816-6f9ab2bd6f0f,Anna F1,577c8bbd-e82c-4729-8ea7-6e92f8148c72,2023-08-30T17:12:59.495060+03:00,False,fruiting,75,{},2023-08-30T17:12:59.495035+03:00
critical,26,800d2742-171d-41e2-8dd5-90414fd5a534,Anna F1,577c8bbd-e82c-4729-8ea7-6e92f8148c72,2023-08-30T17:12:59.487765+03:00,False,flowering,50,{},2023-08-30T17:12:59.487740+03:00
critical,0,6c233f44-57af-4514-a4e3-0712e6e685a6,Anna F1,577c8bbd-e82c-4729-8ea7-6e92f8148c72,2023-08-30T17:12:59.480253+03:00,False,vegetative,25,{},2023-08-30T17:12:59.480229+03:00
not_critical,76,fa784dea-297b-45b8-8eb1-1459f5a6e5a9,Tylka F1,577c8bbd-e82c-4729-8ea7-6e92f8148c72,2023-08-30T17:12:59.472838+03:00,False,harvesting,140,{},2023-08-30T17:12:59.472807+03:00
critical,51,1eb53abc-61b9-4725-8af5-7cc49e1b5c62,Tylka F1,577c8bbd-e82c-4729-8ea7-6e92f8148c72,2023-08-30T17:12:59.465688+03:00,False,fruiting,75,{},2023-08-30T17:12:59.465666+03:00
critical,26,94ed2be7-5889-4c26-a336-726c152f52a4,Tylka F1,577c8bbd-e82c-4729-8ea7-6e92f8148c72,2023-08-30T17:12:59.458704+03:00,False,flowering,50,{},2023-08-30T17:12:59.458680+03:00
critical,0,5d49d9af-1033-4916-9424-2c556547d611,Tylka F1,577c8bbd-e82c-4729-8ea7-6e92f8148c72,2023-08-30T17:12:59.451692+03:00,False,vegetative,25,{},2023-08-30T17:12:59.451667+03:00
critical,76,bb3fecca-3e61-4a2d-aa7d-88e5ebdf115c,Bashaer F1,577c8bbd-e82c-4729-8ea7-6e92f8148c72,2023-08-30T17:12:59.444570+03:00,False,harvesting,140,{},2023-08-30T17:12:59.444546+03:00
critical,51,72f32103-025f-4b9b-8624-f71c67685006,Bashaer F1,577c8bbd-e82c-4729-8ea7-6e92f8148c72,2023-08-30T17:12:59.437616+03:00,False,fruiting,75,{},2023-08-30T17:12:59.437594+03:00
critical,26,2b1c20a7-89ad-4e45-8662-815f8b096fa2,Bashaer F1,577c8bbd-e82c-4729-8ea7-6e92f8148c72,2023-08-30T17:12:59.430604+03:00,False,flowering,50,{},2023-08-30T17:12:59.430581+03:00
critical,0,58faaf22-01bd-4b9f-bbb1-e7edd31fa2e3,Bashaer F1,577c8bbd-e82c-4729-8ea7-6e92f8148c72,2023-08-30T17:12:59.423159+03:00,False,vegetative,25,{},2023-08-30T17:12:59.423133+03:00
critical,76,4236a811-f203-4ee9-b381-47cc77fab197,Rafano F1,577c8bbd-e82c-4729-8ea7-6e92f8148c72,2023-08-30T17:12:59.416154+03:00,False,harvesting,140,{},2023-08-30T17:12:59.416131+03:00
critical,51,469464ca-277f-42cf-8f32-891e46bf348a,Rafano F1,577c8bbd-e82c-4729-8ea7-6e92f8148c72,2023-08-30T17:12:59.408924+03:00,False,fruiting,75,{},2023-08-30T17:12:59.408900+03:00
critical,26,8a427bdb-e477-4e06-ab89-67bca105bdb4,Rafano F1,577c8bbd-e82c-4729-8ea7-6e92f8148c72,2023-08-30T17:12:59.401641+03:00,False,flowering,50,{},2023-08-30T17:12:59.401619+03:00
critical,0,5a5a58ff-3414-4405-8a3d-0ef9a328a7d3,Rafano F1,577c8bbd-e82c-4729-8ea7-6e92f8148c72,2023-08-30T17:12:59.394290+03:00,False,vegetative,25,{},2023-08-30T17:12:59.394268+03:00
critical,76,79b096c3-cae6-493e-85ca-ddfe1b8928fe,Kilele F1,577c8bbd-e82c-4729-8ea7-6e92f8148c72,2023-08-30T17:12:59.386880+03:00,False,harvesting,140,{},2023-08-30T17:12:59.386857+03:00
critical,51,bf2997d6-0117-4969-a869-cbf16beecaeb,Kilele F1,577c8bbd-e82c-4729-8ea7-6e92f8148c72,2023-08-30T17:12:59.379888+03:00,False,fruiting,75,{},2023-08-30T17:12:59.379867+03:00
critical,26,f3dac11a-a62b-4aa4-b6af-95f86892e1e9,Kilele F1,577c8bbd-e82c-4729-8ea7-6e92f8148c72,2023-08-30T17:12:59.373045+03:00,False,flowering,50,{},2023-08-30T17:12:59.373024+03:00
critical,0,7a157a49-9f82-4077-90d3-a7bcea023dfa,Kilele F1,577c8bbd-e82c-4729-8ea7-6e92f8148c72,2023-08-30T17:12:59.366513+03:00,False,vegetative,25,{},2023-08-30T17:12:59.366491+03:00
critical,76,848e0612-8ea1-43d9-aafa-a06454634d90,Assila F1,577c8bbd-e82c-4729-8ea7-6e92f8148c72,2023-08-30T17:12:59.359844+03:00,False,harvesting,140,{},2023-08-30T17:12:59.359822+03:00
critical,51,1b022b72-98a9-4494-9762-fa38d3cfe81a,Assila F1,577c8bbd-e82c-4729-8ea7-6e92f8148c72,2023-08-30T17:12:59.352950+03:00,False,fruiting,75,{},2023-08-30T17:12:59.352927+03:00
critical,26,a0f5bc80-e638-4e3d-b34e-6fecfaabaae8,Assila F1,577c8bbd-e82c-4729-8ea7-6e92f8148c72,2023-08-30T17:12:59.346182+03:00,False,flowering,50,{},2023-08-30T17:12:59.346159+03:00
critical,0,c16fd4ae-a838-4914-abe9-980665d9d79e,Assila F1,577c8bbd-e82c-4729-8ea7-6e92f8148c72,2023-08-30T17:12:59.339453+03:00,False,vegetative,25,{},2023-08-30T17:12:59.339430+03:00
critical,76,8b0a5081-1e17-445b-8d82-4ed1f222c262,Ansal F1,577c8bbd-e82c-4729-8ea7-6e92f8148c72,2023-08-30T17:12:59.332599+03:00,False,harvesting,140,{},2023-08-30T17:12:59.332576+03:00
critical,51,5ae95553-e4c5-4b81-804c-e5a24ed204c8,Ansal F1,577c8bbd-e82c-4729-8ea7-6e92f8148c72,2023-08-30T17:12:59.325767+03:00,False,fruiting,75,{},2023-08-30T17:12:59.325744+03:00
critical,26,85795555-1be7-4bdb-a76b-f668bc81b75c,Ansal F1,577c8bbd-e82c-4729-8ea7-6e92f8148c72,2023-08-30T17:12:59.318860+03:00,False,flowering,50,{},2023-08-30T17:12:59.318838+03:00
critical,0,889875e1-0071-4301-82a9-2ff4271ca887,Ansal F1,577c8bbd-e82c-4729-8ea7-6e92f8148c72,2023-08-30T17:12:59.311884+03:00,False,vegetative,25,{},2023-08-30T17:12:59.311862+03:00
critical,91,960e5085-3115-4734-8b8b-3f45c8efdbef,Monica F1,577c8bbd-e82c-4729-8ea7-6e92f8148c72,2023-08-30T17:12:59.304885+03:00,False,harvesting,150,{},2023-08-30T17:12:59.304862+03:00
critical,61,0caa13d5-b429-457a-8388-49652838ce05,Monica F1,577c8bbd-e82c-4729-8ea7-6e92f8148c72,2023-08-30T17:12:59.297931+03:00,False,fruiting,90,{},2023-08-30T17:12:59.297903+03:00
critical,31,94635460-a1d7-4819-ac23-0514a4166d15,Monica F1,577c8bbd-e82c-4729-8ea7-6e92f8148c72,2023-08-30T17:12:59.290677+03:00,False,flowering,60,{},2023-08-30T17:12:59.290656+03:00
critical,0,b6e839da-e5a9-4512-b013-da87cf1541ed,Monica F1,577c8bbd-e82c-4729-8ea7-6e92f8148c72,2023-08-30T17:12:59.283636+03:00,False,vegetative,30,{},2023-08-30T17:12:59.283613+03:00
critical,86,c48635b7-bf88-4cb4-803b-4ad87dfee356,Prostar F1,577c8bbd-e82c-4729-8ea7-6e92f8148c72,2023-08-30T17:12:59.276293+03:00,False,harvesting,146,{},2023-08-30T17:12:59.276271+03:00
critical,61,845a26e1-0b46-43d5-957a-5e4dfcedf135,Prostar F1,577c8bbd-e82c-4729-8ea7-6e92f8148c72,2023-08-30T17:12:59.269497+03:00,False,fruiting,85,{},2023-08-30T17:12:59.269476+03:00
critical,31,b63ee63c-4217-4edd-bfae-194923782ecd,Prostar F1,577c8bbd-e82c-4729-8ea7-6e92f8148c72,2023-08-30T17:12:59.262774+03:00,False,flowering,60,{},2023-08-30T17:12:59.262752+03:00
critical,0,e1e0a0af-33df-4bf9-9a6e-9ab4f737edb1,Prostar F1,577c8bbd-e82c-4729-8ea7-6e92f8148c72,2023-08-30T17:12:59.256014+03:00,False,vegetative,30,{},2023-08-30T17:12:59.255993+03:00
not_critical,86,71023857-3595-4609-b82c-b6ceea6d4344,Rio Grande,577c8bbd-e82c-4729-8ea7-6e92f8148c72,2023-08-30T17:12:59.249313+03:00,False,harvesting,116,{},2023-08-30T17:12:59.249291+03:00
critical,61,3e3407e4-6966-43de-8f6f-7c7228febc75,Rio Grande,577c8bbd-e82c-4729-8ea7-6e92f8148c72,2024-10-14T17:00:57.986076+03:00,False,fruiting,85,{},2023-08-30T17:12:59.242717+03:00
critical,31,b1408659-1da6-48d4-b4c2-e786e73838d1,Rio Grande,577c8bbd-e82c-4729-8ea7-6e92f8148c72,2023-08-30T17:12:59.236051+03:00,False,flowering,60,{},2023-08-30T17:12:59.236029+03:00
critical,0,52c5be72-d8c1-4302-82d1-ab1907e159ed,Rio Grande,577c8bbd-e82c-4729-8ea7-6e92f8148c72,2023-08-30T17:12:59.229109+03:00,False,vegetative,30,{},2023-08-30T17:12:59.229086+03:00
critical,91,bb54a53c-e901-44af-abe7-fe5234e8e915,Kibo Star F1,577c8bbd-e82c-4729-8ea7-6e92f8148c72,2023-08-30T17:12:59.222268+03:00,False,harvesting,180,{},2023-08-30T17:12:59.222246+03:00
critical,61,98c112e9-c3c2-42d1-ae32-ba50df36c973,Kibo Star F1,577c8bbd-e82c-4729-8ea7-6e92f8148c72,2023-08-30T17:12:59.215436+03:00,False,fruiting,90,{},2023-08-30T17:12:59.215413+03:00
critical,31,cb3b455b-3040-4bd4-a448-1504b8e93e54,Kibo Star F1,577c8bbd-e82c-4729-8ea7-6e92f8148c72,2023-08-30T17:12:59.208716+03:00,False,flowering,60,{},2023-08-30T17:12:59.208695+03:00
critical,0,6b6c51d7-9157-49bc-8be5-6d582a899cfb,Kibo Star F1,577c8bbd-e82c-4729-8ea7-6e92f8148c72,2023-08-30T17:12:59.202199+03:00,False,vegetative,30,{},2023-08-30T17:12:59.202176+03:00
critical,91,0534f2fd-2069-4c70-9f6e-2d639e439cce,Nouvelle F1,577c8bbd-e82c-4729-8ea7-6e92f8148c72,2023-08-30T17:12:59.195507+03:00,False,harvesting,150,{},2023-08-30T17:12:59.195483+03:00
critical,61,c0243aa9-7075-427f-b440-8ef783c67b80,Nouvelle F1,577c8bbd-e82c-4729-8ea7-6e92f8148c72,2023-08-30T17:12:59.188752+03:00,False,fruiting,90,{},2023-08-30T17:12:59.188729+03:00
critical,31,454ad548-2f37-462b-9b4f-3e37b2098dfc,Nouvelle F1,577c8bbd-e82c-4729-8ea7-6e92f8148c72,2023-08-30T17:12:59.181989+03:00,False,flowering,60,{},2023-08-30T17:12:59.181966+03:00
critical,0,a385c4db-e21a-46a2-be5e-74f6a6cb1b99,Nouvelle F1,577c8bbd-e82c-4729-8ea7-6e92f8148c72,2023-08-30T17:12:59.175207+03:00,False,vegetative,30,{},2023-08-30T17:12:59.175185+03:00
critical,76,32244a8d-08f1-4172-aff3-0df50b5ffd17,Crown F1,577c8bbd-e82c-4729-8ea7-6e92f8148c72,2023-08-30T17:12:59.168235+03:00,False,harvesting,136,{},2023-08-30T17:12:59.168211+03:00
