crop_type,crop_variety,min_ maturity_ period(days),max maturity period(days),estimated_ min_yield_tons/acre,estimated_max_yield_tons/acre,suitable_climatic_conditions,altitude_meters_above_sea_level_min,altitude_meters_above_sea_level_max,annual_rainfall_millimeters_min,annual_rainfall_millimeters_max,row_spacing_cm,plant_spacing_1_plant_per_hill,fertilizer_requiments_planting_DAP_kgs,fertilizer_requiments_topdressing_CAN_kgs,fertilizer_requiments_topdressing_17:17:17_kgs,diseases_tolerance,pest_tolerance,pest_susceptibility,disease_susceptibility,seed source,Seed rate_ per acre_grams
TOMATO,Bravo F1,70,75,25,30,warm,800,1500,600,1000,90,60,75,75,50,"tomato yellow leaf curl virus,fusarium wilt, verticillium wilt",nematodes,"leaf miner, thrips, spidermites, whiteflies","anthracnose, early blight, late blight                                                                                                                                                                                                                         ",royal seed,50
TOMATO,Susana F1,60,75,120,150,warm,800,1500,600,1000,90,60,75,75,50,"tomato yellow leaf curl virus, fusarium wilt",none,"leaf miner, whiteflies, spidermites","early blight, late blight, downy mildew",royal seed,50
TOMATO,Nyati F1,70,75,30,35,warm,1000,1500,800,1000,60,60,75,75,50,"bacterial wilt,tomato yellow leaf curl virus",none,"spidermites,leaf miner, thrips","early blight, late blight, downy mildew",ultravetis east africa limited,120
TOMATO,Twiga F1,60,70,50,60,warm,800,1500,800,1000,90,60,75,75,50,"bacterial wilt,tomato yellow leaf curl virus",none,"leaf miner, thrips, spidermites, whiteflies","downy mildew,early blight, late blight",ultravetis east africa limited,120
TOMATO,Commando F1,65,70,30,35,warm,850,1500,600,1000,60,60,75,75,50,"tomato yellow leaf curl virus,bacterial wilt,tomato mosaic virus",nematodes,"whiteflies,leaf miner,spidermites","early blight, late blight, downy mildew",continental seeds,35
TOMATO,Ranger F1,65,70,30,33,warm,750,1500,650,1000,60,60,75,75,50,"tomato yellow leaf curl virus,bacterial wilt,tomato mosaic virus,fusarium wilt",nematodes,"leaf miner,thrips,whieflies","antracnose, early blight, late blight",continental seeds,50
TOMATO,Zara F1,70,75,25,30,warm,700,1500,650,1000,90,60,75,75,50,"tomato yellow leaf curl virus, bacterial wilt",none,"leaf miner, whiteflies, spidermites","downy mildew,early blight, late blight",Amiran limited,50
TOMATO,shanty F1,70,75,25,30,warm,700,1500,650,1000,60,60,75,75,50,"tomato yellow leaf curl virus, bacterial wilt",none,"leaf miner,whiteflies, spidermites","early blight,late blight, downy mildew",Amiran limited,50
TOMATO,carazon F1,70,75,25,30,warm,700,1500,700,1000,90,60,75,75,50,"tomato yellow leaf curl virus,tomato mosaic virus",none,"whiteflies,leaf miner,spidermites","early blight, late blight, downy mildew",Amiran limited,50
TOMATO,Eva F1,70,75,25,30,warm,700,1500,650,1000,90,60,75,75,50,"verticillium wilt,fusarium wilt,tomato mosaic virus",nematodes,"leaf miner, whiteflies, spidermites","early blight,late blight, downy mildew",Amiran limited,50
TOMATO,Rio Grande,75,75,12,16,warm,750,1500,600,1000,60,45,75,75,50,"tomato yellow leaf curl virus,tomato leaf rot virus",none,"leaf miner, whiteflies, spidermites","anthracnose, early blight, late blight                                                                                                                                                                                                                         ","kenya seed,safari seeds",50
TOMATO,cal J,80,90,12,16,warm,750,1500,600,1000,60,60,75,75,50,"tomato mosaic virus,tomato leaf rot virus",nematodes,"whiteflies,leaf miner,spidermites","early blight, late blight, downy mildew","kenya seed, safari seeds",50
TOMATO,moneymaker,85,90,12,16,warm,750,1500,600,1000,60,60,75,75,50,"tomato mosaic virus,tomato leaf rot virus",nematodes,"thrips.leaf miner, spidermites","early blight, late blight, downy mildew","kenya seed,safari seeds",50
